year,force,fpn_all,fpn_phone,fpn_speed,fpn_camera_speed,fpn_camera
2013,Suffolk,20172,1712,6060,35899,35976
2013,Surrey,16208,2571,4425,49885,54983
2013,Sussex,30253,2802,16385,40589,44034
2013,Thames Valley,61553,11452,25052,128378,129358
2013,Warwickshire,18421,792,15138,28350,29073
2013,West Mercia,21036,3186,10857,67723,68478
2013,West Midlands,40048,2648,22744,33843,34226
2013,West Yorkshire,52710,4598,19967,58300,60258
2013,Wiltshire,13009,1546,4782,0,0
2014,Avon and Somerset,20589,1065,12114,99388,99425
2014,Bedfordshire,17397,1043,11852,38549,38607
2014,Cambridgeshire,27780,2305,14444,36138,36154
2014,Cheshire,19980,2352,9562,40200,43866
2014,City of London,5341,258,3675,5809,6110
2014,Cleveland,4266,548,955,6934,6936
2014,Cumbria,7146,876,3615,34847,34847
2014,Derbyshire,9579,1027,4880,13154,13154
2014,Devon and Cornwall,7971,1459,1860,15317,16368
2014,Dorset,13563,1216,7355,17275,17613
2014,Durham,2150,351,860,6184,6184
2014,Dyfed-Powys,8249,661,2048,0,1
2014,Essex,34773,5248,9218,63952,68194
2014,Gloucestershire,6479,737,4295,16639,16652
2014,Greater Manchester,32661,2976,16037,75027,85056
2014,Gwent,8824,434,382,0,5
2014,Hampshire,38028,5922,16242,64665,65100
2014,Hertfordshire,30009,3230,14809,44017,44786
2014,Humberside,16250,1353,5060,47998,48046
2014,Kent,10521,1041,4395,22490,22490
2014,Lancashire,13977,1123,5914,59195,59195
2014,Leicestershire,14948,1215,7003,40040,47318
2014,Lincolnshire,12130,1621,6619,44691,44691
2014,Merseyside,39994,4129,12733,37770,42290
2014,Metropolitan ,119748,22937,22285,64227,69805
2014,Norfolk,14730,719,6999,45094,45121
2014,North Wales,12632,1642,3556,15310,15312
2014,North Yorkshire,8459,779,3473,42044,42044
2014,Northamptonshire,12676,679,7112,34911,34911
2014,Northumbria,11798,1062,5066,62410,64387
2014,Nottinghamshire,18898,4373,5372,29173,31347
2014,South Wales,9634,1406,4198,43285,46068
2014,South Yorkshire,12269,1747,3223,38728,40635
2014,Staffordshire,6375,1576,1480,50381,50983
2014,Suffolk,19366,1443,5181,32883,32947
2014,Surrey,15954,2637,3638,48107,50712
2014,Sussex,25550,1876,13578,45397,48708
2014,Thames Valley,57183,10490,22383,117291,118252
2014,Warwickshire,13427,733,10160,31193,31490
2014,West Mercia,23008,2564,13582,84978,85306
2014,West Midlands,21289,2401,11657,40923,40952
2014,West Yorkshire,35946,2823,14587,74268,75400
2014,Wiltshire,6101,806,2108,0,0
2015,Avon and Somerset,14896,871,8418,111619,112524
2015,Bedfordshire,13556,900,9515,38031,38127
2015,Cambridgeshire,20181,2443,9039,35664,35826
2015,Cheshire,18736,2186,8178,41665,45671
2015,City of London,4659,311,2873,3952,3952
2015,Cleveland,2754,377,642,10154,10154
2015,Cumbria,5128,648,2534,35843,35843
2015,Derbyshire,6875,879,2564,9420,9420
2015,Devon and Cornwall,7177,1353,1895,23315,23975
2015,Dorset,12000,1039,7971,18256,18635
2015,Durham,2578,478,949,5897,5897
2015,Dyfed-Powys,6729,97,1639,1,1
2015,Essex,34875,5628,7365,71684,74399
2015,Gloucestershire,5481,899,3073,15017,15023
2015,Greater Manchester,50876,3205,33016,94351,109189
2015,Gwent,8145,356,135,0,1
2015,Hampshire,34815,5492,15671,72987,73023
2015,Hertfordshire,22454,2044,12072,66059,67354
2015,Humberside,14572,1197,5342,48390,48393
2015,Kent,8273,777,2964,18696,18696
2015,Lancashire,13506,1016,5336,64211,64211
2015,Leicestershire,13071,668,7001,31695,39033
2015,Lincolnshire,9382,1125,5399,42881,42881
2015,Merseyside,31252,2880,11912,47699,53223
2015,Metropolitan ,105098,18557,16292,56315,89615
2015,Norfolk,27207,2620,11182,53146,53146
2015,North Wales,9435,1272,2314,15102,15144
2015,North Yorkshire,7834,804,3121,27249,27249
2015,Northamptonshire,16711,356,11830,47798,47798
2015,Northumbria,10287,827,4681,58157,60476
2015,Nottinghamshire,18037,3531,6457,29169,30819
2015,South Wales,8248,923,3473,40020,41939
2015,South Yorkshire,10561,1466,2192,43901,46704
2015,Staffordshire,6904,1617,1515,39858,40418
2015,Suffolk,11202,804,2230,9183,9219
2015,Surrey,15194,1799,4213,68005,71427
2015,Sussex,23428,1619,12644,51007,53472
2015,Thames Valley,53416,10843,21087,124552,125789
2015,Warwickshire,12911,716,9512,39309,39664
2015,West Mercia,17117,2212,8536,78456,78699
2015,West Midlands,19209,2659,8703,35692,35692
2015,West Yorkshire,42130,2823,22632,107542,109270
2015,Wiltshire,4092,466,1287,0,0
2016,Avon and Somerset,41082,864,32069,152585,157884
2016,Bedfordshire,17546,568,13567,54695,54968
2016,Cambridgeshire,15993,981,7554,30932,31332
2016,Cheshire,17444,2687,7184,47603,48774
2016,City of London,5052,824,2540,2806,2806
2016,Cleveland,2880,360,640,12846,12846
2016,Cumbria,6167,639,3804,41930,41930
2016,Derbyshire,4214,408,1681,8521,8521
2016,Devon and Cornwall,6811,1112,2136,39858,40263
2016,Dorset,9528,773,6229,18751,19263
2016,Durham,2154,367,769,6661,6661
2016,Dyfed-Powys,5034,89,1358,0,0
2016,Essex,32386,5093,9877,88668,92816
2016,Gloucestershire,7473,574,5772,19216,19216
2016,Greater Manchester,49432,2637,34309,85785,95124
2016,Gwent,8564,270,153,8,27
2016,Hampshire,27004,3950,12896,68317,68329
2016,Hertfordshire,21743,1321,12094,54818,56286
