Year,Country,Region,Police force,Offence,Total FPNS,Camera detected FPNS
2009,England Total,* Country Total,* Country Total,Total camera detections,1158930,904603
2009,Wales,Wales,Dyfed-Powys,Total camera detections,11579,8015
2009,Wales,Wales,Gwent,Total camera detections,16069,14796
2009,Wales,Wales,North Wales,Total camera detections,28374,21382
2009,Wales,Wales,South Wales,Total camera detections,30538,26694
2009,Wales,Wales Total,* Region Total,Total camera detections,86560,70887
2009,England and Wales Total,*E&W Total,*E&W Total,Total camera detections,1245490,975490
2009,England,East Midlands,* Region Total,Neglect of traffic directions,19602,13586
2009,England,East Midlands,* Region Total,Speed limit offences,84765,76609
2009,England,East of England,* Region Total,Neglect of traffic directions,14941,8671
2009,England,East of England,* Region Total,Speed limit offences,140556,117708
2009,England,London,* Region Total,Neglect of traffic directions,23727,14834
2009,England,London,* Region Total,Speed limit offences,45787,42037
2009,England,North East,* Region Total,Neglect of traffic directions,4485,695
2009,England,North East,* Region Total,Speed limit offences,34391,28865
2009,England,North West,* Region Total,Neglect of traffic directions,33737,16472
2009,England,North West,* Region Total,Speed limit offences,152919,127343
2009,England,South East,* Region Total,Neglect of traffic directions,14542,8372
2009,England,South East,* Region Total,Speed limit offences,169220,143036
2009,England,South West,* Region Total,Neglect of traffic directions,16950,9356
2009,England,South West,* Region Total,Speed limit offences,148325,118593
2009,Wales,Wales,* Region Total,Neglect of traffic directions,7275,3417
2009,Wales,Wales,* Region Total,Speed limit offences,79285,67470
2009,England,West Midlands,* Region Total,Neglect of traffic directions,16769,10059
2009,England,West Midlands,* Region Total,Speed limit offences,154928,120020
2009,England,Yorkshire & The Humber,* Region Total,Neglect of traffic directions,15974,5279
2009,England,Yorkshire & The Humber,* Region Total,Speed limit offences,67312,43068
2009,England Total,* Country Total,* Country Total,Neglect of traffic directions,160727,87324
2009,England Total,* Country Total,* Country Total,Speed limit offences,998203,817279
2009,Wales Total,* Country Total,* Country Total,Neglect of traffic directions,7275,3417
2009,Wales Total,* Country Total,* Country Total,Speed limit offences,79285,67470
2010,England,East Midlands,Derbyshire,Total camera detections,7371,5402
2010,England,East Midlands,Leicestershire,Total camera detections,21349,17639
2010,England,East Midlands,Lincolnshire,Total camera detections,19712,16303
2010,England,East Midlands,Northamptonshire,Total camera detections,11442,9950
2010,England,East Midlands,Nottinghamshire,Total camera detections,26865,24620
2010,England,East Midlands Total,* Region Total,Total camera detections,86739,73914
2010,England,East of England,Bedfordshire,Total camera detections,12400,10739
2010,England,East of England,Cambridgeshire,Total camera detections,15351,12220
2010,England,East of England,Essex,Total camera detections,48964,20243
2010,England,East of England,Hertfordshire,Total camera detections,31847,29607
2010,England,East of England,Norfolk,Total camera detections,19200,12484
2010,England,East of England,Suffolk,Total camera detections,24447,19685
2010,England,East of England Total,* Region Total,Total camera detections,152209,104978
2010,England,London,"London, City of",Total camera detections,3523,3113
2010,England,London,Metropolitan Police,Total camera detections,46884,27990
2010,England,London Total,* Region Total,Total camera detections,50407,31103
2010,England,North East,Cleveland,Total camera detections,9864,6103
2010,England,North East,Durham,Total camera detections,4289,2957
2010,England,North East,Northumbria,Total camera detections,23564,20037
2010,England,North East Total,* Region Total,Total camera detections,37717,29097
2010,England,North West,Cheshire,Total camera detections,21845,15834
2010,England,North West,Cumbria,Total camera detections,18493,16584
2010,England,North West,Greater Manchester,Total camera detections,51005,47000
2010,England,North West,Lancashire,Total camera detections,26512,21577
2010,England,North West,Merseyside,Total camera detections,35571,20038
2010,England,North West Total,* Region Total,Total camera detections,153426,121033
2010,England,South East,Hampshire,Total camera detections,33161,25099
2010,England,South East,Kent,Total camera detections,24518,15828
2010,England,South East,Surrey,Total camera detections,27522,24499
2010,England,South East,Sussex,Total camera detections,35080,27649
2010,England,South East,Thames Valley,Total camera detections,54177,40436
2010,England,South East Total,* Region Total,Total camera detections,174458,133511
2010,England,South West,Avon and Somerset,Total camera detections,62770,59982
2010,England,South West,Devon and Cornwall,Total camera detections,42197,18043
2010,England,South West,Dorset,Total camera detections,37393,32589
2010,England,South West,Gloucestershire,Total camera detections,6694,4719
2010,England,South West,Wiltshire,Total camera detections,27352,21206
2010,England,South West Total,* Region Total,Total camera detections,176406,136539
2010,England,West Midlands,Staffordshire,Total camera detections,42296,20197
2010,England,West Midlands,Warwickshire,Total camera detections,22452,20077
2010,England,West Midlands,West Mercia,Total camera detections,33045,28809
2010,England,West Midlands,West Midlands,Total camera detections,39704,32918
2010,England,West Midlands Total,* Region Total,Total camera detections,137497,102001
2010,England,Yorkshire & The Humber,Humberside,Total camera detections,24368,18373
2010,England,Yorkshire & The Humber,North Yorkshire,Total camera detections,15949,5465
2010,England,Yorkshire & The Humber,South Yorkshire,Total camera detections,19383,13260
2010,England,Yorkshire & The Humber,West Yorkshire,Total camera detections,31908,22295
2010,England,Yorkshire & The Humber Total,* Region Total,Total camera detections,91608,59393
2010,England Total,* Country Total,* Country Total,Total camera detections,1060467,791569
2010,Wales,Wales,Dyfed-Powys,Total camera detections,11966,7367
2010,Wales,Wales,Gwent,Total camera detections,14234,13128
2010,Wales,Wales,North Wales,Total camera detections,21879,18279
2010,Wales,Wales,South Wales,Total camera detections,26377,23581
2010,Wales,Wales Total,* Region Total,Total camera detections,74456,62355
2010,England and Wales Total,*E&W Total,*E&W Total,Total camera detections,1134923,853924
2010,England,East Midlands,* Region Total,Neglect of traffic directions,19659,14052
2010,England,East Midlands,* Region Total,Speed limit offences,67080,59862
2010,England,East of England,* Region Total,Neglect of traffic directions,14639,7050
2010,England,East of England,* Region Total,Speed limit offences,137570,97928
2010,England,London,* Region Total,Neglect of traffic directions,24131,8788
2010,England,London,* Region Total,Speed limit offences,26276,22315
2010,England,North East,* Region Total,Neglect of traffic directions,5670,1549
2010,England,North East,* Region Total,Speed limit offences,32047,27548
2010,England,North West,* Region Total,Neglect of traffic directions,20656,8262
2010,England,North West,* Region Total,Speed limit offences,132770,112771
2010,England,South East,* Region Total,Neglect of traffic directions,15823,9254
2010,England,South East,* Region Total,Speed limit offences,158635,124257
2010,England,South West,* Region Total,Neglect of traffic directions,13993,6115
2010,England,South West,* Region Total,Speed limit offences,162413,130424
2010,Wales,Wales,* Region Total,Neglect of traffic directions,6162,3011
2010,Wales,Wales,* Region Total,Speed limit offences,68294,59344
2010,England,West Midlands,* Region Total,Neglect of traffic directions,12263,6573
2010,England,West Midlands,* Region Total,Speed limit offences,125234,95428
2010,England,Yorkshire & The Humber,* Region Total,Neglect of traffic directions,15183,5604
2010,England,Yorkshire & The Humber,* Region Total,Speed limit offences,76425,53789
2010,England Total,* Country Total,* Country Total,Neglect of traffic directions,142017,67247
2010,England Total,* Country Total,* Country Total,Speed limit offences,918450,724322
2010,Wales Total,* Country Total,* Country Total,Neglect of traffic directions,6162,3011
2010,Wales Total,* Country Total,* Country Total,Speed limit offences,68294,59344
2007,England and Wales Total,*E&W Total,*E&W Total,Speed limit offences,1464035,1296137
2007,England and Wales Total,*E&W Total,*E&W Total,Neglect of traffic directions,188054,109427
2007,England and Wales Total,*E&W Total,*E&W Total,Total camera detections,1652089,1405564
2008,England and Wales Total,*E&W Total,*E&W Total,Speed limit offences,1228018,1047523
2008,England and Wales Total,*E&W Total,*E&W Total,Neglect of traffic directions,183977,99672
2008,England and Wales Total,*E&W Total,*E&W Total,Total camera detections,1411995,1147195
2009,England and Wales Total,*E&W Total,*E&W Total,Neglect of traffic directions,168002,90741
2009,England and Wales Total,*E&W Total,*E&W Total,Speed limit offences,1077488,884749
2010,England and Wales Total,*E&W Total,*E&W Total,Neglect of traffic directions,148179,70258
2010,England and Wales Total,*E&W Total,*E&W Total,Speed limit offences,986744,783666
