LAD16CD,LAD16NM,CSP16CD,CSP16NM,PFA16CD,PFA16NM,FID
E07000044,South Hams,E22000364,South Devon and Dartmoor,E23000035,Devon & Cornwall,156
E07000179,South Oxfordshire,E22000312,South Oxfordshire,E23000029,Thames Valley,157
E07000110,Maidstone,E22000142,Maidstone,E23000032,Kent,158
E06000021,Stoke-on-Trent,E22000270,Stoke-on-Trent,E23000015,Staffordshire,159
E09000026,Redbridge,E22000211,Redbridge,E23000001,Metropolitan Police,160
E08000005,Rochdale,E22000103,Rochdale,E23000005,Greater Manchester,161
E07000045,Teignbridge,E22000364,South Devon and Dartmoor,E23000035,Devon & Cornwall,162
E07000180,Vale of White Horse,E22000313,Vale of White Horse,E23000029,Thames Valley,163
E09000027,Richmond upon Thames,E22000212,Richmond upon Thames,E23000001,Metropolitan Police,164
E06000022,Bath and North East Somerset,E22000001,Bath and North East Somerset,E23000036,Avon and Somerset,165
E07000111,Sevenoaks,E22000144,Sevenoaks,E23000032,Kent,166
E08000006,Salford,E22000104,Salford,E23000005,Greater Manchester,167
E07000046,Torridge,E22000363,North Devon,E23000035,Devon & Cornwall,168
E07000181,West Oxfordshire,E22000315,West Oxfordshire,E23000029,Thames Valley,169
E09000028,Southwark,E22000213,Southwark,E23000001,Metropolitan Police,170
E06000023,"Bristol, City of",E22000002,"Bristol, City of",E23000036,Avon and Somerset,171
E07000112,Shepway,E22000145,Shepway,E23000032,Kent,172
E07000047,West Devon,E22000364,South Devon and Dartmoor,E23000035,Devon & Cornwall,173
E09000029,Sutton,E22000214,Sutton,E23000001,Metropolitan Police,174
E07000187,Mendip,E22000369,Somerset,E23000036,Avon and Somerset,175
E08000007,Stockport,E22000105,Stockport,E23000005,Greater Manchester,176
E06000024,North Somerset,E22000003,North Somerset,E23000036,Avon and Somerset,177
E07000113,Swale,E22000146,Swale,E23000032,Kent,178
E09000030,Tower Hamlets,E22000215,Tower Hamlets,E23000001,Metropolitan Police,179
E08000008,Tameside,E22000106,Tameside,E23000005,Greater Manchester,180
E07000188,Sedgemoor,E22000369,Somerset,E23000036,Avon and Somerset,181
E07000048,Christchurch,E22000367,Dorset,E23000039,Dorset,182
E06000025,South Gloucestershire,E22000006,South Gloucestershire,E23000036,Avon and Somerset,183
E07000114,Thanet,E22000147,Thanet,E23000032,Kent,184
E08000009,Trafford,E22000107,Trafford,E23000005,Greater Manchester,185
E09000031,Waltham Forest,E22000216,Waltham Forest,E23000001,Metropolitan Police,186
E07000189,South Somerset,E22000369,Somerset,E23000036,Avon and Somerset,187
E07000049,East Dorset,E22000367,Dorset,E23000039,Dorset,188
E06000026,Plymouth,E22000056,Plymouth,E23000035,Devon & Cornwall,189
E07000115,Tonbridge and Malling,E22000148,Tonbridge and Malling,E23000032,Kent,190
E09000032,Wandsworth,E22000217,Wandsworth,E23000001,Metropolitan Police,191
E07000190,Taunton Deane,E22000369,Somerset,E23000036,Avon and Somerset,192
E08000010,Wigan,E22000108,Wigan,E23000005,Greater Manchester,193
E07000050,North Dorset,E22000367,Dorset,E23000039,Dorset,194
E07000116,Tunbridge Wells,E22000149,Tunbridge Wells,E23000032,Kent,195
E06000027,Torbay,E22000060,Torbay,E23000035,Devon & Cornwall,196
E09000033,Westminster,E22000192,Westminster,E23000001,Metropolitan Police,197
E08000011,Knowsley,E22000181,Knowsley,E23000004,Merseyside,198
E07000191,West Somerset,E22000369,Somerset,E23000036,Avon and Somerset,199
E07000051,Purbeck,E22000367,Dorset,E23000039,Dorset,200
E07000117,Burnley,E22000152,Burnley,E23000003,Lancashire,201
W06000001,Isle of Anglesey,W14000001,Isle of Anglesey,W15000001,North Wales,202
E08000012,Liverpool,E22000182,Liverpool,E23000004,Merseyside,203
E06000028,Bournemouth,E22000063,Bournemouth,E23000039,Dorset,204
E07000192,Cannock Chase,E22000263,Cannock Chase,E23000015,Staffordshire,205
E07000052,West Dorset,E22000367,Dorset,E23000039,Dorset,206
E07000118,Chorley,E22000153,Chorley,E23000003,Lancashire,207
E08000014,Sefton,E22000183,Sefton,E23000004,Merseyside,208
W06000002,Gwynedd,W14000002,Gwynedd,W15000001,North Wales,209
E07000119,Fylde,E22000154,Fylde,E23000003,Lancashire,210
E06000029,Poole,E22000067,Poole,E23000039,Dorset,211
E08000013,St. Helens,E22000184,St. Helens,E23000004,Merseyside,212
W06000003,Conwy,W14000003,Conwy,W15000001,North Wales,213
E07000053,Weymouth and Portland,E22000367,Dorset,E23000039,Dorset,214
E07000193,East Staffordshire,E22000264,East Staffordshire,E23000015,Staffordshire,215
E07000120,Hyndburn,E22000155,Hyndburn,E23000003,Lancashire,216
E06000030,Swindon,E22000350,Swindon,E23000038,Wiltshire,217
W06000004,Denbighshire,W14000004,Denbighshire,W15000001,North Wales,218
E07000194,Lichfield,E22000265,Lichfield,E23000015,Staffordshire,219
E08000015,Wirral,E22000185,Wirral,E23000004,Merseyside,220
E07000061,Eastbourne,E22000295,Eastbourne,E23000033,Sussex,221
E07000121,Lancaster,E22000156,Lancaster,E23000003,Lancashire,222
E06000031,Peterborough,E22000017,Peterborough,E23000023,Cambridgeshire,223
E08000016,Barnsley,E22000259,Barnsley,E23000011,South Yorkshire,224
E07000195,Newcastle-under-Lyme,E22000266,Newcastle-under-Lyme,E23000015,Staffordshire,225
W06000005,Flintshire,W14000005,Flintshire,W15000001,North Wales,226
E07000062,Hastings,E22000296,Hastings,E23000033,Sussex,227
E07000122,Pendle,E22000157,Pendle,E23000003,Lancashire,228
E06000032,Luton,E22000010,Luton,E23000026,Bedfordshire,229
E08000017,Doncaster,E22000260,Doncaster,E23000011,South Yorkshire,230
E07000196,South Staffordshire,E22000267,South Staffordshire,E23000015,Staffordshire,231
W06000006,Wrexham,W14000006,Wrexham,W15000001,North Wales,232
E07000063,Lewes,E22000298,Lewes,E23000033,Sussex,233
E07000123,Preston,E22000158,Preston,E23000003,Lancashire,234
E08000018,Rotherham,E22000261,Rotherham,E23000011,South Yorkshire,235
E07000197,Stafford,E22000268,Stafford,E23000015,Staffordshire,236
E06000033,Southend-on-Sea,E22000089,Southend-on-Sea,E23000028,Essex,237
W06000008,Ceredigion,W14000008,Ceredigion,W15000004,Dyfed-Powys,238
E07000064,Rother,E22000300,Rother,E23000033,Sussex,239
E07000198,Staffordshire Moorlands,E22000269,Staffordshire Moorlands,E23000015,Staffordshire,240
E08000019,Sheffield,E22000262,Sheffield,E23000011,South Yorkshire,241
