Year,Country,Region,Police force,Offence class (no.),Offence,Offence grouping,Number of endorsable FPNs,Number of non-endorsable FPNs,Total FPNs
2007,England,Yorkshire & The Humber,West Yorkshire,16,Speed limit offences,Speed limit offences,41386,,41386
2007,England,Yorkshire & The Humber,West Yorkshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,368,301,669
2007,England,Yorkshire & The Humber,West Yorkshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,5493,3864,9357
2007,England,Yorkshire & The Humber,West Yorkshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,363,42,405
2007,England,Yorkshire & The Humber,West Yorkshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",4,16182,16186
2007,England,Yorkshire & The Humber,West Yorkshire,21,Lighting offences,Lighting and noise offences,,1054,1054
2007,England,Yorkshire & The Humber,West Yorkshire,22,Noise offences,Lighting and noise offences,,21,21
2007,England,Yorkshire & The Humber,West Yorkshire,23,Load offences,Other offences,0,19,19
2007,England,Yorkshire & The Humber,West Yorkshire,24,Offences peculiar to motor cycles,Other offences,7,20,27
2007,England,Yorkshire & The Humber,West Yorkshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,51,51
2007,England,Yorkshire & The Humber,West Yorkshire,25b,Seat belt offences,Miscellaneous motoring offences,,6995,6995
2007,England,South West,Wiltshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,0,301,301
2007,England,South West,Wiltshire,4b,Use of hand-held mobile phone while driving,Careless driving,1037,,1037
2007,England,South West,Wiltshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",71,0,71
2007,England,South West,Wiltshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",367,,367
2007,England,South West,Wiltshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,789,789
2007,England,South West,Wiltshire,13,Vehicle test offences,Vehicle test and condition offences,,292,292
2007,England,South West,Wiltshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,146,36,182
2007,England,South West,Wiltshire,16,Speed limit offences,Speed limit offences,36959,,36959
2007,England,South West,Wiltshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,17,11,28
2007,England,South West,Wiltshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,1999,474,2473
2007,England,South West,Wiltshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,27,26,53
2007,England,South West,Wiltshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",2,1215,1217
2007,England,South West,Wiltshire,21,Lighting offences,Lighting and noise offences,,126,126
2007,England,South West,Wiltshire,22,Noise offences,Lighting and noise offences,,13,13
2007,England,South West,Wiltshire,23,Load offences,Other offences,0,30,30
2007,England,South West,Wiltshire,24,Offences peculiar to motor cycles,Other offences,2,13,15
2007,England,South West,Wiltshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,3,3
2007,England,South West,Wiltshire,25b,Seat belt offences,Miscellaneous motoring offences,,2062,2062
2007,Wales,Wales,Dyfed-Powys,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,1,45,46
2007,Wales,Wales,Dyfed-Powys,4b,Use of hand-held mobile phone while driving,Careless driving,712,146,858
2007,Wales,Wales,Dyfed-Powys,7,Driving licence related offences,"Licence, insurance and record keeping offences",38,0,38
2007,Wales,Wales,Dyfed-Powys,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",0,,0
2007,Wales,Wales,Dyfed-Powys,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,275,275
2007,Wales,Wales,Dyfed-Powys,13,Vehicle test offences,Vehicle test and condition offences,,0,0
2007,Wales,Wales,Dyfed-Powys,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,141,76,217
2007,Wales,Wales,Dyfed-Powys,16,Speed limit offences,Speed limit offences,10842,,10842
2007,Wales,Wales,Dyfed-Powys,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,17,0,17
2007,Wales,Wales,Dyfed-Powys,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,415,204,619
2007,Wales,Wales,Dyfed-Powys,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,103,3,106
2007,Wales,Wales,Dyfed-Powys,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,10376,10377
2007,Wales,Wales,Dyfed-Powys,21,Lighting offences,Lighting and noise offences,,160,160
2007,Wales,Wales,Dyfed-Powys,22,Noise offences,Lighting and noise offences,,14,14
2007,Wales,Wales,Dyfed-Powys,23,Load offences,Other offences,0,2,2
2007,Wales,Wales,Dyfed-Powys,24,Offences peculiar to motor cycles,Other offences,0,5,5
2007,Wales,Wales,Dyfed-Powys,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,88,88
2007,Wales,Wales,Dyfed-Powys,25b,Seat belt offences,Miscellaneous motoring offences,,1764,1764
2007,Wales,Wales,Gwent,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,32,37,69
2007,Wales,Wales,Gwent,4b,Use of hand-held mobile phone while driving,Careless driving,945,215,1160
2007,Wales,Wales,Gwent,7,Driving licence related offences,"Licence, insurance and record keeping offences",42,0,42
2007,Wales,Wales,Gwent,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",53,,53
2007,Wales,Wales,Gwent,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,460,460
2007,Wales,Wales,Gwent,13,Vehicle test offences,Vehicle test and condition offences,,151,151
2007,Wales,Wales,Gwent,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,73,164,237
2007,Wales,Wales,Gwent,16,Speed limit offences,Speed limit offences,27457,,27457
2007,Wales,Wales,Gwent,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,8,4,12
2007,Wales,Wales,Gwent,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,472,419,891
2007,Wales,Wales,Gwent,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,83,96,179
2007,Wales,Wales,Gwent,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",2,17465,17467
2007,Wales,Wales,Gwent,21,Lighting offences,Lighting and noise offences,,247,247
2007,Wales,Wales,Gwent,22,Noise offences,Lighting and noise offences,,25,25
2007,Wales,Wales,Gwent,23,Load offences,Other offences,0,83,83
2007,Wales,Wales,Gwent,24,Offences peculiar to motor cycles,Other offences,1,20,21
2007,Wales,Wales,Gwent,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,3,3
2007,Wales,Wales,Gwent,25b,Seat belt offences,Miscellaneous motoring offences,,2384,2384
2007,Wales,Wales,North Wales,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,49,42,91
2007,Wales,Wales,North Wales,4b,Use of hand-held mobile phone while driving,Careless driving,1940,570,2510
2007,Wales,Wales,North Wales,7,Driving licence related offences,"Licence, insurance and record keeping offences",116,0,116
2007,Wales,Wales,North Wales,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",403,,403
2007,Wales,Wales,North Wales,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1678,1678
2007,Wales,Wales,North Wales,13,Vehicle test offences,Vehicle test and condition offences,,1214,1214
2007,Wales,Wales,North Wales,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,197,408,605
2007,Wales,Wales,North Wales,16,Speed limit offences,Speed limit offences,42537,,42537
2007,Wales,Wales,North Wales,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,3,3,6
2007,Wales,Wales,North Wales,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,445,812,1257
2007,Wales,Wales,North Wales,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,54,13,67
2007,Wales,Wales,North Wales,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",7,4964,4971
2007,Wales,Wales,North Wales,21,Lighting offences,Lighting and noise offences,,345,345
2007,Wales,Wales,North Wales,22,Noise offences,Lighting and noise offences,,55,55
2007,Wales,Wales,North Wales,23,Load offences,Other offences,0,13,13
2007,Wales,Wales,North Wales,24,Offences peculiar to motor cycles,Other offences,3,13,16
2007,Wales,Wales,North Wales,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,28,28
2007,Wales,Wales,North Wales,25b,Seat belt offences,Miscellaneous motoring offences,,6723,6723
2007,Wales,Wales,South Wales,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,22,42,64
2007,Wales,Wales,South Wales,4b,Use of hand-held mobile phone while driving,Careless driving,1737,386,2123
2007,Wales,Wales,South Wales,7,Driving licence related offences,"Licence, insurance and record keeping offences",43,0,43
2007,Wales,Wales,South Wales,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",0,,0
2007,Wales,Wales,South Wales,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,337,337
2007,Wales,Wales,South Wales,13,Vehicle test offences,Vehicle test and condition offences,,1,1
2007,Wales,Wales,South Wales,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,271,82,353
2007,Wales,Wales,South Wales,16,Speed limit offences,Speed limit offences,30638,,30638
2007,Wales,Wales,South Wales,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,28,55,83
2007,Wales,Wales,South Wales,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,3692,919,4611
2007,Wales,Wales,South Wales,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,220,682,902
2007,Wales,Wales,South Wales,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,79300,79300
2007,Wales,Wales,South Wales,21,Lighting offences,Lighting and noise offences,,368,368
2007,Wales,Wales,South Wales,22,Noise offences,Lighting and noise offences,,27,27
2007,Wales,Wales,South Wales,23,Load offences,Other offences,30,5,35
2007,Wales,Wales,South Wales,24,Offences peculiar to motor cycles,Other offences,0,16,16
2007,Wales,Wales,South Wales,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,97,97
2007,Wales,Wales,South Wales,25b,Seat belt offences,Miscellaneous motoring offences,,2567,2567
2008,England,South West,Avon and Somerset,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,20,0,20
2008,England,South West,Avon and Somerset,4b,Use of hand-held mobile phone while driving,Careless driving,2013,,2013
2008,England,South West,Avon and Somerset,7,Driving licence related offences,"Licence, insurance and record keeping offences",236,0,236
2008,England,South West,Avon and Somerset,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",882,,882
2008,England,South West,Avon and Somerset,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,8248,8248
2008,England,South West,Avon and Somerset,13,Vehicle test offences,Vehicle test and condition offences,,1235,1235
2008,England,South West,Avon and Somerset,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,221,169,390
2008,England,South West,Avon and Somerset,16,Speed limit offences,Speed limit offences,53069,,53069
2008,England,South West,Avon and Somerset,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,76,15,91
2008,England,South West,Avon and Somerset,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,5166,788,5954
2008,England,South West,Avon and Somerset,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,245,556,801
2008,England,South West,Avon and Somerset,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,10378,10379
2008,England,South West,Avon and Somerset,21,Lighting offences,Lighting and noise offences,,417,417
2008,England,South West,Avon and Somerset,22,Noise offences,Lighting and noise offences,,57,57
2008,England,South West,Avon and Somerset,23,Load offences,Other offences,0,60,60
2008,England,South West,Avon and Somerset,24,Offences peculiar to motor cycles,Other offences,3,38,41
2008,England,South West,Avon and Somerset,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,1,1
2008,England,South West,Avon and Somerset,25b,Seat belt offences,Miscellaneous motoring offences,,1928,1928
2008,England,East of England,Bedfordshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,20,9,29
2008,England,East of England,Bedfordshire,4b,Use of hand-held mobile phone while driving,Careless driving,1274,,1274
2008,England,East of England,Bedfordshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",28,0,28
2008,England,East of England,Bedfordshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",0,,0
2008,England,East of England,Bedfordshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,424,424
2008,England,East of England,Bedfordshire,13,Vehicle test offences,Vehicle test and condition offences,,3,3
2008,England,East of England,Bedfordshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,74,138,212
2008,England,East of England,Bedfordshire,16,Speed limit offences,Speed limit offences,19884,,19884
2008,England,East of England,Bedfordshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,16,13,29
2008,England,East of England,Bedfordshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,1341,307,1648
2008,England,East of England,Bedfordshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,94,11,105
2008,England,East of England,Bedfordshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,1042,1042
2008,England,East of England,Bedfordshire,21,Lighting offences,Lighting and noise offences,,170,170
2008,England,East of England,Bedfordshire,22,Noise offences,Lighting and noise offences,,27,27
2008,England,East of England,Bedfordshire,23,Load offences,Other offences,0,7,7
2008,England,East of England,Bedfordshire,24,Offences peculiar to motor cycles,Other offences,0,6,6
2008,England,East of England,Bedfordshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,3,3
2008,England,East of England,Bedfordshire,25b,Seat belt offences,Miscellaneous motoring offences,,3187,3187
2008,England,East of England,Cambridgeshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,38,38,76
2008,England,East of England,Cambridgeshire,4b,Use of hand-held mobile phone while driving,Careless driving,2487,,2487
2008,England,East of England,Cambridgeshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",145,0,145
2008,England,East of England,Cambridgeshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",321,,321
2008,England,East of England,Cambridgeshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1189,1189
2008,England,East of England,Cambridgeshire,13,Vehicle test offences,Vehicle test and condition offences,,630,630
2008,England,East of England,Cambridgeshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,223,313,536
2008,England,East of England,Cambridgeshire,16,Speed limit offences,Speed limit offences,22548,,22548
2008,England,East of England,Cambridgeshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,10,7,17
2008,England,East of England,Cambridgeshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,677,1323,2000
2008,England,East of England,Cambridgeshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,138,6,144
2008,England,East of England,Cambridgeshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",6,6844,6850
2008,England,East of England,Cambridgeshire,21,Lighting offences,Lighting and noise offences,,264,264
2008,England,East of England,Cambridgeshire,22,Noise offences,Lighting and noise offences,,25,25
2008,England,East of England,Cambridgeshire,23,Load offences,Other offences,0,40,40
2008,England,East of England,Cambridgeshire,24,Offences peculiar to motor cycles,Other offences,0,21,21
2008,England,East of England,Cambridgeshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,10,10
2008,England,East of England,Cambridgeshire,25b,Seat belt offences,Miscellaneous motoring offences,,4382,4382
2008,England,North West,Cheshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,133,9,142
2008,England,North West,Cheshire,4b,Use of hand-held mobile phone while driving,Careless driving,3270,,3270
2008,England,North West,Cheshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",94,0,94
2008,England,North West,Cheshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",106,,106
2008,England,North West,Cheshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1743,1743
2008,England,North West,Cheshire,13,Vehicle test offences,Vehicle test and condition offences,,530,530
2008,England,North West,Cheshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,141,150,291
2008,England,North West,Cheshire,16,Speed limit offences,Speed limit offences,23032,,23032
2008,England,North West,Cheshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,184,46,230
2008,England,North West,Cheshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,3954,1271,5225
2008,England,North West,Cheshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,115,28,143
2008,England,North West,Cheshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",2,6574,6576
2008,England,North West,Cheshire,21,Lighting offences,Lighting and noise offences,,496,496
2008,England,North West,Cheshire,22,Noise offences,Lighting and noise offences,,29,29
2008,England,North West,Cheshire,23,Load offences,Other offences,19,8,27
2008,England,North West,Cheshire,24,Offences peculiar to motor cycles,Other offences,3,30,33
2008,England,North West,Cheshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,12,12
2008,England,North West,Cheshire,25b,Seat belt offences,Miscellaneous motoring offences,,4382,4382
2008,England,North East,Cleveland,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,29,12,41
2008,England,North East,Cleveland,4b,Use of hand-held mobile phone while driving,Careless driving,1151,,1151
2008,England,North East,Cleveland,7,Driving licence related offences,"Licence, insurance and record keeping offences",58,0,58
2008,England,North East,Cleveland,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",113,,113
2008,England,North East,Cleveland,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,502,502
2008,England,North East,Cleveland,13,Vehicle test offences,Vehicle test and condition offences,,16,16
2008,England,North East,Cleveland,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,117,198,315
2008,England,North East,Cleveland,16,Speed limit offences,Speed limit offences,11017,,11017
2008,England,North East,Cleveland,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,0,0,0
2008,England,North East,Cleveland,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,366,873,1239
2008,England,North East,Cleveland,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,87,48,135
2008,England,North East,Cleveland,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,557,557
2008,England,North East,Cleveland,21,Lighting offences,Lighting and noise offences,,230,230
2008,England,North East,Cleveland,22,Noise offences,Lighting and noise offences,,7,7
2008,England,North East,Cleveland,23,Load offences,Other offences,0,9,9
2008,England,North East,Cleveland,24,Offences peculiar to motor cycles,Other offences,0,19,19
2008,England,North East,Cleveland,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,2,2
2008,England,North East,Cleveland,25b,Seat belt offences,Miscellaneous motoring offences,,1896,1896
2008,England,North West,Cumbria,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,58,11,69
2008,England,North West,Cumbria,4b,Use of hand-held mobile phone while driving,Careless driving,754,,754
2008,England,North West,Cumbria,7,Driving licence related offences,"Licence, insurance and record keeping offences",43,0,43
2008,England,North West,Cumbria,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",0,,0
2008,England,North West,Cumbria,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,411,411
2008,England,North West,Cumbria,13,Vehicle test offences,Vehicle test and condition offences,,2,2
2008,England,North West,Cumbria,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,192,10,202
2008,England,North West,Cumbria,16,Speed limit offences,Speed limit offences,30774,,30774
2008,England,North West,Cumbria,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,45,18,63
2008,England,North West,Cumbria,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,290,340,630
2008,England,North West,Cumbria,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,108,13,121
2008,England,North West,Cumbria,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",3,507,510
2008,England,North West,Cumbria,21,Lighting offences,Lighting and noise offences,,205,205
2008,England,North West,Cumbria,22,Noise offences,Lighting and noise offences,,62,62
2008,England,North West,Cumbria,23,Load offences,Other offences,32,1,33
2008,England,North West,Cumbria,24,Offences peculiar to motor cycles,Other offences,0,12,12
2008,England,North West,Cumbria,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,1,1
2008,England,North West,Cumbria,25b,Seat belt offences,Miscellaneous motoring offences,,2165,2165
2008,England,East Midlands,Derbyshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,49,11,60
2008,England,East Midlands,Derbyshire,4b,Use of hand-held mobile phone while driving,Careless driving,2082,,2082
2008,England,East Midlands,Derbyshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",165,0,165
2008,England,East Midlands,Derbyshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",182,,182
2008,England,East Midlands,Derbyshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,815,815
2008,England,East Midlands,Derbyshire,13,Vehicle test offences,Vehicle test and condition offences,,471,471
2008,England,East Midlands,Derbyshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,134,216,350
2008,England,East Midlands,Derbyshire,16,Speed limit offences,Speed limit offences,16652,,16652
2008,England,East Midlands,Derbyshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,49,3,52
2008,England,East Midlands,Derbyshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,236,858,1094
2008,England,East Midlands,Derbyshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,71,13,84
2008,England,East Midlands,Derbyshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",2,4170,4172
2008,England,East Midlands,Derbyshire,21,Lighting offences,Lighting and noise offences,,345,345
2008,England,East Midlands,Derbyshire,22,Noise offences,Lighting and noise offences,,7,7
2008,England,East Midlands,Derbyshire,23,Load offences,Other offences,0,13,13
2008,England,East Midlands,Derbyshire,24,Offences peculiar to motor cycles,Other offences,4,28,32
2008,England,East Midlands,Derbyshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,22,22
2008,England,East Midlands,Derbyshire,25b,Seat belt offences,Miscellaneous motoring offences,,6314,6314
2008,England,South West,Devon and Cornwall,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,0,0,0
2008,England,South West,Devon and Cornwall,4b,Use of hand-held mobile phone while driving,Careless driving,2245,,2245
2008,England,South West,Devon and Cornwall,7,Driving licence related offences,"Licence, insurance and record keeping offences",148,0,148
2008,England,South West,Devon and Cornwall,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",201,,201
2008,England,South West,Devon and Cornwall,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,7169,7169
2008,England,South West,Devon and Cornwall,13,Vehicle test offences,Vehicle test and condition offences,,669,669
2008,England,South West,Devon and Cornwall,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,257,208,465
2008,England,South West,Devon and Cornwall,16,Speed limit offences,Speed limit offences,49234,,49234
2008,England,South West,Devon and Cornwall,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,32,1,33
2008,England,South West,Devon and Cornwall,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,7174,974,8148
2008,England,South West,Devon and Cornwall,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,188,11,199
2008,England,South West,Devon and Cornwall,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",3,9425,9428
2008,England,South West,Devon and Cornwall,21,Lighting offences,Lighting and noise offences,,414,414
2008,England,South West,Devon and Cornwall,22,Noise offences,Lighting and noise offences,,81,81
2008,England,South West,Devon and Cornwall,23,Load offences,Other offences,63,52,115
2008,England,South West,Devon and Cornwall,24,Offences peculiar to motor cycles,Other offences,2,40,42
2008,England,South West,Devon and Cornwall,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,32,32
2008,England,South West,Devon and Cornwall,25b,Seat belt offences,Miscellaneous motoring offences,,3404,3404
2008,England,South West,Dorset,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,33,9,42
2008,England,South West,Dorset,4b,Use of hand-held mobile phone while driving,Careless driving,1489,,1489
2008,England,South West,Dorset,7,Driving licence related offences,"Licence, insurance and record keeping offences",114,0,114
2008,England,South West,Dorset,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",498,,498
2008,England,South West,Dorset,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,897,897
2008,England,South West,Dorset,13,Vehicle test offences,Vehicle test and condition offences,,1768,1768
2008,England,South West,Dorset,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,75,120,195
2008,England,South West,Dorset,16,Speed limit offences,Speed limit offences,26086,,26086
2008,England,South West,Dorset,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,0,0,0
2008,England,South West,Dorset,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,2322,613,2935
2008,England,South West,Dorset,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,97,15,112
2008,England,South West,Dorset,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,293,294
2008,England,South West,Dorset,21,Lighting offences,Lighting and noise offences,,117,117
2008,England,South West,Dorset,22,Noise offences,Lighting and noise offences,,19,19
2008,England,South West,Dorset,23,Load offences,Other offences,21,68,89
2008,England,South West,Dorset,24,Offences peculiar to motor cycles,Other offences,1,48,49
2008,England,South West,Dorset,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,12,12
2008,England,South West,Dorset,25b,Seat belt offences,Miscellaneous motoring offences,,1560,1560
2008,England,North East,Durham,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,16,3,19
2008,England,North East,Durham,4b,Use of hand-held mobile phone while driving,Careless driving,933,,933
2008,England,North East,Durham,7,Driving licence related offences,"Licence, insurance and record keeping offences",28,0,28
2008,England,North East,Durham,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",0,,0
2008,England,North East,Durham,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,211,211
2008,England,North East,Durham,13,Vehicle test offences,Vehicle test and condition offences,,0,0
2008,England,North East,Durham,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,30,170,200
2008,England,North East,Durham,16,Speed limit offences,Speed limit offences,3531,,3531
2008,England,North East,Durham,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,2,4,6
2008,England,North East,Durham,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,217,267,484
2008,England,North East,Durham,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,121,4,125
2008,England,North East,Durham,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,4366,4366
2008,England,North East,Durham,21,Lighting offences,Lighting and noise offences,,207,207
